gdb_id,smiles,gap,homo,lumo
1,C,15.831126582278483,-14.820936708860762,1.0101898734177217
2,N,12.48607692307692,-11.50453846153846,0.9815384615384616
3,O,14.340313725490194,-13.274078431372548,1.066235294117647
4,C#C,12.848648648648648,-11.785972972972973,1.0626756756756757
5,C#N,15.416416666666665,-14.131333333333332,1.2850833333333331
6,C=O,12.414405405405406,-11.606567567567568,0.8078378378378378
7,CC,14.241153846153846,-13.204,1.037153846153846
8,CO,12.839411764705883,-11.731411764705882,1.1080000000000003
9,CC#C,11.805639999999999,-10.87544,0.9301999999999998
10,CC#N,13.677405405405406,-12.87227027027027,0.8051351351351351
11,CC=O,11.749279999999999,-10.9324,0.8168799999999999
12,C(=O)N,12.383783783783786,-11.103135135135137,1.2806486486486484
13,CCC,13.645624309392264,-12.650232044198894,0.99539226519337
14,CCO,12.489235294117648,-11.44078431372549,1.048450980392157
15,COC,11.860117647058823,-10.861823529411764,0.998294117647059
16,C1CC1,12.484333333333336,-11.41029411764706,1.0740392156862746
17,C1CO1,12.501679999999999,-11.452559999999998,1.0491199999999998
18,CC(=O)C,11.294863636363637,-10.432897727272728,0.8619659090909091
19,CC(=O)N,11.425586419753088,-10.626530864197532,0.7990555555555556
20,C(=O)(N)N,11.656108108108109,-10.897567567567569,0.7585405405405405
21,CC(C)C,13.21794827586207,-12.261008620689656,0.9569396551724138
22,CC(C)O,12.141313725490196,-11.188039215686274,0.9532745098039216
23,C#CC#C,11.45608333333333,-10.516916666666663,0.9391666666666668
24,C#CC#N,12.555688679245282,-12.024424528301886,0.5312641509433965
25,C(#N)C#N,13.398,-13.839,-0.4409999999999999
26,C#CC=O,11.255416666666667,-11.544666666666666,-0.2892499999999999
27,C(=O)C#N,11.66590566037736,-12.674226415094342,-1.008320754716981
28,C(=O)C=O,10.235833333333332,-11.269333333333332,-1.0335
29,CC#CC,11.048568181818181,-10.11915909090909,0.9294090909090909
30,CCC#C,11.811409090909091,-10.7305,1.080909090909091
31,CCC#N,13.656191358024689,-12.610265432098764,1.0459259259259257
32,C(C#N)N,12.286837837837838,-11.277054054054055,1.0097837837837838
33,C#CCO,12.290324324324324,-11.099783783783783,1.1905405405405405
34,C(C#N)O,13.535395522388061,-12.508059701492538,1.0273358208955226
35,CCC=O,11.702988636363637,-10.708647727272728,0.9943409090909088
36,CNC=O,11.429444444444442,-10.622617283950616,0.8068271604938273
37,COC=O,13.059891891891894,-11.740189189189191,1.3197027027027028
38,C(C=O)O,12.012891891891892,-10.930864864864864,1.0820270270270274
39,CCCC,13.170749999999998,-12.173655172413792,0.997094827586207
40,CCCO,12.417039215686273,-11.366196078431372,1.050843137254902
41,CCOC,11.673098039215686,-10.67021568627451,1.0028823529411763
42,C(CO)O,12.255795454545455,-11.199693181818182,1.0561022727272729
43,CC1CC1,11.839941176470589,-10.84086274509804,0.9990784313725491
44,CC1CO1,12.096295454545455,-11.121306818181818,0.9749886363636364
45,CN1CC1,10.777973684210524,-9.81165789473684,0.9663157894736844
46,C1CC1O,11.395340909090907,-10.36994318181818,1.0253977272727273
47,C1CCC1,12.605960784313725,-11.59005882352941,1.0159019607843138
48,C1COC1,11.546999999999999,-10.537886363636362,1.0091136363636362
49,CC(=NO)C,11.442276995305162,-10.127084507042252,1.315192488262911
50,c1cc[nH]c1,9.608054054054053,-8.709648648648647,0.8984054054054055
51,c1cnc[nH]1,10.15509356725146,-9.372877192982456,0.7822163742690058
52,c1ccoc1,10.64115789473684,-9.33411111111111,1.3070467836257311
53,c1cocn1,10.993617834394904,-10.11968152866242,0.8739363057324843
54,CC(C)(C)C,12.842272084805654,-11.93483038869258,0.907441696113074
55,CC(C)(C)O,11.906411764705883,-11.000098039215686,0.9063137254901964
56,CC(=O)C#C,10.974619883040939,-10.985766081871349,-0.0111461988304093
57,CC(=O)C#N,11.345898089171975,-11.978414012738854,-0.6325159235668789
58,C(#N)C(=N)N,11.587458598726116,-11.027713375796178,0.5597452229299364
59,C#CC(=O)N,11.92183439490446,-11.06003821656051,0.8617961783439494
60,CC(=O)C=O,9.934128654970756,-10.722052631578944,-0.787923976608187
61,C(=O)C(=N)N,10.422339181286551,-10.546380116959066,-0.1240409356725146
62,C(=O)C(=O)N,10.469331210191083,-10.818229299363058,-0.3488980891719744
63,CC(C)C#C,11.652299559471365,-10.619044052863435,1.0332555066079294
64,CC(C)C#N,13.412769953051644,-12.396478873239438,1.0162910798122065
65,CC(N)C#N,12.211638190954776,-11.125748743718594,1.0858894472361813
66,CC(O)C#C,12.538477386934673,-11.147572864321608,1.3909045226130652
67,CC(O)C#N,13.68327027027027,-12.370297297297297,1.3129729729729729
68,CC(C)C=O,11.32930396475771,-10.51088986784141,0.8184140969162996
69,CC(O)C=O,11.765869346733666,-10.83824120603015,0.9276281407035176
70,CN(C)C=O,10.159389671361506,-9.495333333333337,0.664056338028169
71,CC(=O)CO,11.739311557788945,-11.035924623115578,0.703386934673367
72,CCC(=O)C,11.177960352422907,-10.281837004405286,0.8961233480176211
73,CCC(=O)N,11.339201877934268,-10.492840375586852,0.8463615023474178
74,CC(=O)NC,11.127845070422534,-10.324784037558684,0.8030610328638497
75,CNC(=O)N,11.249864321608039,-10.480623115577888,0.7692412060301508
76,COC(C)=N,11.6341455399061,-10.700427230046946,0.9337183098591548
77,CC(=O)OC,12.443472361809045,-11.253170854271357,1.1903015075376884
78,COC(=O)N,12.273675675675678,-11.34356756756757,0.9301081081081082
79,C(C(=O)N)O,11.495729729729732,-10.648162162162164,0.8475675675675677
80,[NH3+]CC([O-])=O,11.7,-10.870297297297297,0.8297027027027026
81,CC(C)CO,12.294274509803921,-11.293607843137254,1.0006666666666668
82,CC(O)CO,12.074616740088103,-11.164299559471363,0.9103171806167402
83,CCC(C)C,12.82426855123675,-11.86770671378092,0.9565618374558305
84,CCC(C)O,12.07011764705882,-11.1088431372549,0.9612745098039216
85,CC(C)OC,11.406764705882352,-10.449078431372548,0.9576862745098036
86,CC1(CC1)C,11.388156862745097,-10.448039215686274,0.9401176470588232
87,CC1(CO1)C,11.800568281938327,-10.873422907488989,0.9271453744493392
88,CC1(CC1)O,11.418792951541853,-10.469709251101325,0.9490837004405288
89,N=C1CCO1,11.87872972972973,-10.825135135135136,1.0535945945945948
90,C1CC(=O)C1,11.004130653266332,-10.205718592964825,0.7984120603015076
91,C1CNC1=O,11.40762162162162,-10.58562162162162,0.8220000000000002
92,C1COC1=O,12.750269005847953,-11.467701754385963,1.2825672514619886
93,C1C(=O)CN1,11.287702702702704,-10.346783783783785,0.9409189189189192
94,C1C(=O)CO1,11.969555555555553,-10.914403508771928,1.0551520467836255
95,CC1CCC1,12.206137254901957,-11.253254901960782,0.9528823529411764
96,CC1CCO1,11.280678414096915,-10.330299559471364,0.9503788546255508
97,CC1COC1,11.40985462555066,-10.438533039647576,0.9713215859030836
98,C1CC(C1)O,11.785973568281939,-10.808480176211454,0.9774933920704848
99,C1C(CO1)O,11.60270351758794,-10.64929648241206,0.9534070351758795
100,CC1CC1C,11.429176470588237,-10.471058823529413,0.9581176470588236
101,CC1CC1O,11.59108370044053,-10.595942731277534,0.9951409691629955
102,CC1CN1C,10.32756846473029,-9.412601659751036,0.9149668049792528
103,CC1OC1C,11.697506607929515,-10.778127753303965,0.9193788546255506
104,OC1CC1O,11.24740201005025,-10.287336683417085,0.9600653266331658
105,C1C2CC1C2,12.45113215859031,-11.49798678414097,0.9531453744493394
106,C1C2CC1O2,11.142206030150755,-10.211663316582916,0.930542713567839
107,C#CCC#C,12.017900584795322,-10.823502923976609,1.1943976608187137
108,C#CCC#N,12.87764331210191,-11.62516560509554,1.2524777070063693
109,C(C#N)C#N,13.870181818181816,-13.39625874125874,0.4739230769230768
110,C#CCC=O,11.824251461988304,-10.8656783625731,0.9585730994152049
111,C(C=O)C#N,12.06428025477707,-11.70999363057325,0.3542866242038218
112,C(=N)NC=O,11.295011695906432,-10.630742690058478,0.6642690058479532
113,N=COC=O,13.865847133757963,-12.893388535031848,0.9724585987261148
114,C(=O)NC=O,11.421649681528663,-11.08079617834395,0.3408535031847133
115,CC#CC#C,10.531432748538007,-9.871812865497072,0.6596198830409357
116,CC#CC#N,11.900273885350321,-11.19887261146497,0.7014012738853503
117,CC#CC=O,10.99566081871345,-11.020754385964912,-0.0250935672514619
118,CC#CCO,11.407090452261304,-10.327492462311556,1.0795979899497483
119,CCC#CC,10.945189427312775,-10.013986784140968,0.931202643171806
120,CN=COC,11.033981220657274,-10.418436619718308,0.6155446009389669
121,CCCC#C,11.618713656387664,-10.627691629955946,0.9910220264317182
122,CCCC#N,13.365962441314554,-12.398643192488263,0.967319248826291
123,CNCC#N,11.69043216080402,-10.432708542713568,1.2577236180904523
124,COCC#C,12.003336683417082,-10.830010050251254,1.1733266331658292
125,COCC#N,12.822999999999997,-11.673945945945944,1.149054054054054
126,C#CCCO,11.867407035175878,-10.861603015075376,1.0058040201005023
127,C(CO)C#N,13.079864864864863,-12.216756756756755,0.8631081081081081
128,CCCC=O,11.430947136563875,-10.60853744493392,0.8224096916299561
129,CCNC=O,11.369267605633805,-10.455140845070424,0.9141267605633804
130,CCOC=O,12.655859296482413,-11.573527638190956,1.0823316582914575
131,COCC=O,11.808231155778895,-10.96748743718593,0.8407437185929646
132,C(CO)C=O,11.830291457286433,-10.8266783919598,1.0036130653266333
133,CCCCC,12.770243816254421,-11.81419787985866,0.95604593639576
134,CCCCO,12.36064705882353,-11.325,1.0356470588235294
135,CCCOC,11.555098039215684,-10.613215686274508,0.9418823529411764
